-------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations
toss_me/64                         192577 ns       192552 ns         3605
toss_me/64                         192688 ns       192619 ns         3605
toss_me/64                         192693 ns       192658 ns         3605
toss_me/64                         192758 ns       192706 ns         3605
toss_me/64                         193291 ns       193261 ns         3605
toss_me/64                         192407 ns       192401 ns         3605
toss_me/64                         192538 ns       192525 ns         3605
toss_me/64                         192743 ns       192692 ns         3605
toss_me/64                         192875 ns       192831 ns         3605
toss_me/64                         192405 ns       192338 ns         3605
toss_me/64                         192982 ns       192967 ns         3605
toss_me/64                         192656 ns       192627 ns         3605
toss_me/64                         191956 ns       191936 ns         3605
toss_me/64                         194265 ns       194232 ns         3605
toss_me/64                         192408 ns       192361 ns         3605
toss_me/64_mean                    192779 ns       192745 ns           40
toss_me/64_median                  192660 ns       192630 ns           40
toss_me/64_stddev                     561 ns          561 ns           40
toss_me/128                       1251704 ns      1251314 ns          552
toss_me/128                       1245170 ns      1244755 ns          552
toss_me/128                       1250839 ns      1250498 ns          552
toss_me/128                       1244907 ns      1244454 ns          552
toss_me/128                       1240835 ns      1240373 ns          552
toss_me/128                       1244765 ns      1244266 ns          552
toss_me/128                       1246780 ns      1246332 ns          552
toss_me/128                       1243703 ns      1243413 ns          552
toss_me/128                       1243960 ns      1243703 ns          552
toss_me/128                       1243595 ns      1243254 ns          552
toss_me/128                       1241432 ns      1241257 ns          552
toss_me/128                       1245810 ns      1245231 ns          552
toss_me/128                       1245626 ns      1245412 ns          552
toss_me/128                       1240363 ns      1240185 ns          552
toss_me/128                       1240937 ns      1240761 ns          552
toss_me/128                       1244475 ns      1244137 ns          552
toss_me/128                       1237516 ns      1237262 ns          552
toss_me/128                       1242787 ns      1242263 ns          552
toss_me/128                       1270795 ns      1270525 ns          552
toss_me/128                       1245853 ns      1245606 ns          552
toss_me/128                       1237953 ns      1237845 ns          552
toss_me/128                       1241880 ns      1241291 ns          552
toss_me/128                       1248051 ns      1247519 ns          552
toss_me/128                       1239274 ns      1238813 ns          552
toss_me/128                       1244101 ns      1244051 ns          552
toss_me/128                       1242758 ns      1242433 ns          552
toss_me/128                       1240556 ns      1240306 ns          552
toss_me/128                       1240501 ns      1240107 ns          552
toss_me/128                       1248315 ns      1247838 ns          552
toss_me/128                       1244793 ns      1244411 ns          552
toss_me/128                       1247988 ns      1247707 ns          552
toss_me/128                       1243867 ns      1243620 ns          552
toss_me/128                       1241032 ns      1240589 ns          552
toss_me/128                       1255097 ns      1254924 ns          552
toss_me/128                       1250637 ns      1250250 ns          552
toss_me/128                       1257265 ns      1256750 ns          552
toss_me/128                       1251756 ns      1251477 ns          552
toss_me/128                       1249354 ns      1248985 ns          552
toss_me/128                       1245718 ns      1245170 ns          552
toss_me/128                       1241998 ns      1241682 ns          552
toss_me/128_mean                  1245619 ns      1245269 ns           40
toss_me/128_median                1244620 ns      1244202 ns           40
toss_me/128_stddev                   6014 ns         6006 ns           40
toss_me/256                       6562015 ns      6558813 ns          108
toss_me/256                       6490918 ns      6489940 ns          108
toss_me/256                       6488901 ns      6487888 ns          108
toss_me/256                       6506580 ns      6504558 ns          108
toss_me/256                       6513759 ns      6512236 ns          108
toss_me/256                       6531924 ns      6530625 ns          108
toss_me/256                       6532579 ns      6530820 ns          108
toss_me/256                       6523458 ns      6523235 ns          108
toss_me/256                       6544286 ns      6542828 ns          108
toss_me/256                       6532974 ns      6532718 ns          108
toss_me/256                       6525636 ns      6521833 ns          108
toss_me/256                       6599153 ns      6596449 ns          108
toss_me/256                       6644102 ns      6641061 ns          108
toss_me/256                       6536569 ns      6535123 ns          108
toss_me/256                       6519064 ns      6517751 ns          108
toss_me/256                       6510800 ns      6508756 ns          108
toss_me/256                       6498797 ns      6498639 ns          108
toss_me/256                       6589472 ns      6589238 ns          108
toss_me/256                       6589275 ns      6589037 ns          108
toss_me/256                       6518128 ns      6516643 ns          108
toss_me/256                       6512769 ns      6511823 ns          108
toss_me/256                       6533310 ns      6531237 ns          108
toss_me/256                       6540124 ns      6538279 ns          108
toss_me/256                       6543719 ns      6541796 ns          108
toss_me/256                       6567152 ns      6565761 ns          108
toss_me/256                       6550431 ns      6548471 ns          108
toss_me/256                       6553074 ns      6551496 ns          108
toss_me/256                       6555328 ns      6553472 ns          108
toss_me/256                       6593195 ns      6591527 ns          108
toss_me/256                       6566003 ns      6564153 ns          108
toss_me/256                       6523769 ns      6520614 ns          108
toss_me/256                       6583755 ns      6582467 ns          108
toss_me/256                       6541710 ns      6538511 ns          108
toss_me/256                       6533380 ns      6530919 ns          108
toss_me/256                       6562531 ns      6559525 ns          108
toss_me/256                       6568330 ns      6567323 ns          108
toss_me/256                       6554909 ns      6554378 ns          108
toss_me/256                       6516554 ns      6516026 ns          108
toss_me/256                       6553160 ns      6550178 ns          108
toss_me/256                       6549596 ns      6547723 ns          108
toss_me/256_mean                  6544030 ns      6542347 ns           40
toss_me/256_median                6540917 ns      6538395 ns           40
toss_me/256_stddev                  32085 ns        31908 ns           40
toss_me/512                      27317086 ns     27310851 ns           25
toss_me/512                      27041426 ns     27037430 ns           25
toss_me/512                      26950572 ns     26946097 ns           25
toss_me/512                      27446737 ns     27435981 ns           25
toss_me/512                      27081078 ns     27072508 ns           25
toss_me/512                      26956929 ns     26946485 ns           25
toss_me/512                      27098516 ns     27090784 ns           25
toss_me/512                      27036578 ns     27027377 ns           25
toss_me/512                      27773750 ns     27768227 ns           25
toss_me/512                      27320005 ns     27308813 ns           25
toss_me/512                      26925639 ns     26919992 ns           25
toss_me/512                      27222430 ns     27214765 ns           25
toss_me/512                      26960965 ns     26956494 ns           25
toss_me/512                      26877529 ns     26868506 ns           25
toss_me/512                      26920749 ns     26913961 ns           25
toss_me/512                      26934352 ns     26925526 ns           25
toss_me/512                      27388382 ns     27386117 ns           25
toss_me/512                      26943844 ns     26937283 ns           25
toss_me/512                      27123137 ns     27119937 ns           25
toss_me/512                      27400366 ns     27390512 ns           25
toss_me/512                      27432709 ns     27429900 ns           25
toss_me/512                      27054500 ns     27041062 ns           25
toss_me/512                      27039421 ns     27032126 ns           25
toss_me/512                      27046769 ns     27037921 ns           25
toss_me/512                      27162751 ns     27161806 ns           25
toss_me/512                      26978258 ns     26971051 ns           25
toss_me/512                      27049817 ns     27049237 ns           25
toss_me/512                      27319050 ns     27309721 ns           25
toss_me/512                      26815546 ns     26805502 ns           25
toss_me/512                      26889088 ns     26880495 ns           25
toss_me/512                      26957379 ns     26956481 ns           25
toss_me/512                      27301095 ns     27295570 ns           25
toss_me/512                      26867266 ns     26866699 ns           25
toss_me/512                      27264333 ns     27255075 ns           25
toss_me/512                      26793631 ns     26783356 ns           25
toss_me/512                      26264556 ns     26254141 ns           25
toss_me/512                      27328745 ns     27324427 ns           25
toss_me/512                      27464059 ns     27454264 ns           25
toss_me/512                      27239917 ns     27235070 ns           25
toss_me/512                      27482227 ns     27479967 ns           25
toss_me/512_mean                 27111780 ns     27105038 ns           40
toss_me/512_median               27052158 ns     27045150 ns           40
toss_me/512_stddev                 262390 ns       262919 ns           40
toss_me/1024                    112010544 ns    112001516 ns            6
toss_me/1024                    113659226 ns    113631217 ns            6
toss_me/1024                    112899198 ns    112862157 ns            6
toss_me/1024                    113490922 ns    113448678 ns            6
toss_me/1024                    113915453 ns    113899400 ns            6
toss_me/1024                    113388369 ns    113369329 ns            6
toss_me/1024                    115657580 ns    115639061 ns            6
toss_me/1024                    113980452 ns    113976436 ns            6
toss_me/1024                    113413887 ns    113384023 ns            6
toss_me/1024                    113768813 ns    113756818 ns            6
toss_me/1024                    112086624 ns    112051224 ns            6
toss_me/1024                    113751742 ns    113708808 ns            6
toss_me/1024                    113809045 ns    113768164 ns            6
toss_me/1024                    113266650 ns    113248775 ns            6
toss_me/1024                    113502344 ns    113485583 ns            6
toss_me/1024                    113548909 ns    113524806 ns            6
toss_me/1024                    112786908 ns    112741305 ns            6
toss_me/1024                    113459209 ns    113430148 ns            6
toss_me/1024                    113392481 ns    113353772 ns            6
toss_me/1024                    113499710 ns    113497360 ns            6
toss_me/1024                    113190909 ns    113168347 ns            6
toss_me/1024                    112385409 ns    112349441 ns            6
toss_me/1024                    112171600 ns    112155967 ns            6
toss_me/1024                    113921593 ns    113899839 ns            6
toss_me/1024                    113568649 ns    113538525 ns            6
toss_me/1024                    112716944 ns    112701654 ns            6
